City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,manzanillo,20.3433,-77.1167,74.44,80,33,12.71,CU,1680239951
84,kilimatinde,-5.85,34.95,65.62,96,58,2.44,TZ,1680239951
85,bambous virieux,-20.3428,57.7575,82.22,80,36,12.46,MU,1680239390
86,qaanaaq,77.484,-69.3632,-11.63,58,10,6.87,GL,1680239390
87,egvekinot,66.3167,-179.1667,2.1,98,47,0.47,RU,1680239424
88,faanui,-16.4833,-151.75,82.36,72,50,6.67,PF,1680239412
89,ocampo,21.65,-101.5,63.21,35,100,4.7,MX,1680239951
90,vila velha,-20.3297,-40.2925,78.75,83,0,8.05,BR,1680239951
91,port-gentil,-0.7193,8.7815,80.35,77,100,6.11,GA,1680239419
92,hobart,-42.8794,147.3294,60.26,56,40,20.71,AU,1680239391
93,airai,-8.9266,125.4092,64.13,94,99,1.45,TL,1680239423
94,barga,44.0742,10.4808,51.67,96,100,3.71,IT,1680239726
95,tharad,24.3961,71.6267,84.06,42,0,11.01,IN,1680239951
96,garissa,-0.4536,39.6401,80.65,71,37,10.65,KE,1680239413
97,butaritari,3.0707,172.7902,81.86,78,63,10.98,KI,1680239393
98,new norfolk,-42.7826,147.0587,59.92,46,82,5.99,AU,1680239388
99,tiznit,29.5833,-9.5,70.5,15,0,1.07,MA,1680239951
100,west bay,19.3667,-81.4167,79.0,84,0,1.01,KY,1680239951
101,tura,25.5198,90.2201,84.36,43,71,4.18,IN,1680239157
102,polyarnyy,69.1989,33.4478,10.47,92,18,11.43,RU,1680239951
103,tasiilaq,65.6145,-37.6368,24.96,76,100,7.36,GL,1680239394
104,labelle,26.7617,-81.4384,69.98,75,0,7.72,US,1680239952
105,bogorodskoye,56.55,37.8833,29.43,87,50,6.44,RU,1680239952
106,belle fourche,44.6714,-103.8522,31.35,61,81,8.14,US,1680239952
107,mana,5.6592,-53.7767,76.5,88,76,9.69,GF,1680239952
108,buraydah,26.326,43.975,66.16,34,13,18.3,SA,1680239206
109,glenwood springs,39.5505,-107.3248,32.92,89,100,16.11,US,1680239952
110,geraldton,-28.7667,114.6,84.61,48,40,10.36,AU,1680239441
111,kant,27.8,79.8,81.5,41,89,10.67,IN,1680239952
112,olinda,-8.0089,-34.8553,76.73,83,40,5.75,BR,1680239405
113,upernavik,72.7868,-56.1549,-21.39,87,16,5.1,GL,1680239388
114,lompoc,34.6391,-120.4579,47.59,83,0,18.99,US,1680239952
115,port blair,11.6667,92.75,87.84,66,40,4.61,IN,1680239952
116,svetlogorsk,52.6333,29.7333,33.24,92,98,8.28,BY,1680239952
117,constitucion,-35.3333,-72.4167,56.71,52,9,6.58,CL,1680239423
118,batemans bay,-35.7167,150.1833,70.11,49,32,8.19,AU,1680239953
119,severo-kurilsk,50.6789,156.125,35.94,68,2,5.75,RU,1680239338
120,cruzilia,-21.8386,-44.8083,62.2,95,94,1.79,BR,1680239953
121,grand-santi,4.25,-54.3833,70.7,99,67,2.24,GF,1680239953
122,east london,-33.0153,27.9116,60.62,70,2,5.55,ZA,1680239389
123,muroto,33.2833,134.15,62.2,51,100,13.09,JP,1680239953
124,krivosheino,57.3431,83.9261,17.51,68,99,11.07,RU,1680239953
125,busselton,-33.65,115.3333,61.34,88,100,17.07,AU,1680239391
126,dovolnoye,54.4958,79.6671,20.64,70,57,11.23,RU,1680239953
127,duluth,46.7833,-92.1066,31.35,92,100,19.57,US,1680239953
128,assiniboia,49.6334,-105.9845,13.82,85,87,8.05,CA,1680239953
129,hella,67.2,14.4333,33.94,68,75,17.27,NO,1680239953
130,kurilsk,45.2333,147.8833,35.78,94,100,15.3,RU,1680239953
131,pueblo nuevo,23.3833,-105.3833,53.69,29,99,4.41,MX,1680239953
132,zhigansk,66.7697,123.3711,2.79,75,98,13.35,RU,1680239953
133,albany,42.6001,-73.9662,27.59,60,17,3.27,US,1680239196
134,hofn,64.2539,-15.2082,44.24,99,100,10.92,IS,1680239445
135,dasoguz,41.8363,59.9666,73.35,31,0,11.5,TM,1680239954
136,diphu,25.8333,93.4333,78.49,32,39,1.28,IN,1680239954
137,shablykino,52.8566,35.1964,31.1,68,6,11.81,RU,1680239954
138,ukiah,39.1502,-123.2078,44.65,83,0,2.13,US,1680239783
139,genhe,50.7833,121.5167,54.09,44,19,8.37,CN,1680239954
140,ostrovnoy,68.0531,39.5131,15.03,91,11,15.46,RU,1680239405
141,clyde river,70.4692,-68.5914,-1.97,78,100,6.91,CA,1680239426
142,fairbanks,64.8378,-147.7164,30.54,55,75,10.36,US,1680239132
143,bengkulu,-3.8004,102.2655,79.52,73,100,3.98,ID,1680239391
144,evensk,61.95,159.2333,17.06,92,100,6.26,RU,1680239954
145,bandar,2.05,99.75,88.86,56,95,3.29,ID,1680239954
146,xifeng,42.7372,124.7222,71.96,20,0,11.88,CN,1680239954
147,enshi,30.3,109.4833,70.97,52,100,1.3,CN,1680239954
